CountyGeo,Students Enrolled,Total Days Lost,All Student Days Lost per 100 Students,Black Students,Black Days Lost,Black Days Lost per 100 Students,Latino Students,Latino Days Lost,Latino Days Lost per 100 Students,White Students Enrolled,White Days Lost,White Days Lost per 100 Students,SWD Enrolled,SWD Days Lost,SWD Days Lost per 100 Students,SWoD Enrolled,SWoD Days Lost,SWoD Days Lost per 100 Students,Native American Students Enrolled,Native American Days Lost,Native American Days Lost per 100 Students,Pac. Islander Students Enrolled,Pac. Islander Days Lost,Pac. Islander Lost per 100 Students,Asian Students Enrolled,Asian Days Lost,Asian Days Lost per 100 Students,Law Enforcement,LEO-to-Student Ratio,Counselors,Counselor-to-Student Ratio,Teachers,Teacher-to-Student Ratio,Nurses,Nurse-to-Student Ratio,Psychologists,Psych-to-Student Ratio,Social Workers,SW-to-Student Ratio,Non-matching,Remove from CNC Map,CNC Students Enrolled,Percent of Schools w Cops and No Counselors,Number of Schools,SOC Enrolled,Number of CNC SCHOOLS,Security Guards,MTW Status,,,
Grand Total,"49,977,268","11,360,004",23,"7,706,334","5,102,873",66,"12,901,683","2,196,744",17,"24,366,389","3,294,592",14,"5,982,714","2,719,980",45,"43,693,941","8,618,773",20,"550,923","170,187",31,"216,411","64,336",30,"2,502,065","100,076",4,"27,235",1794,"112,586",444,"3,190,980",16,"53,389",936,"32,754",1526,"23,138",2160,Matching,,1729856,3.5%,93641,25610879,4112,27736.9,Matching and updated,,,
6037,"1,405,554","81,311",6,"106,301","23,052",22,"906,371","43,497",5,"201,761","9,067",4,"154,902","23,165",15,"1,245,292","58,146",5,"4,213",372,9,"8,117",472,6,"144,365","2,182",2,447,3066,"2,526",556,"61,312",23,"1,496",940,"2,470",569,313,4495,Matching,,72473,5.2%,1956,1203793,137,824.07,Matching and updated,,,
,"1,385,585","298,072",22,"309,065","172,367",56,"576,338","88,095",15,"274,352","24,687",9,"238,345","115,726",49,"1,144,442","182,346",16,"13,885","2,906",21,"6,777",114,2,"178,921","7,018",4,99,,"3,687",376,"97,742",14,901,1045,128,7377,63,15007,Matching,,25731,2.7%,1074,755598,39,233.88,Matching and updated,,,
48201,"941,687","186,698",20,"173,238","85,615",49,"507,764","83,077",16,"186,089","14,098",8,"71,494","30,780",43,"856,680","152,746",18,"4,614",543,12,"1,411",139,10,"52,649","1,096",2,366,2521,"1,611",584,"57,805",16,551,1384,468,1631,883,864,Matching,,34073,4.5%,1219,573772,66,2037.58,Matching and updated,,,
17031,"762,886","116,947",15,"221,917","75,035",34,"291,378","28,925",10,"189,114","10,577",6,"97,586","25,603",26,"635,938","89,184",14,"2,481",227,9,"1,339",42,3,"41,139",629,2,555,1384,"1,483",515,"51,497",15,526,1376,451,1606,246,2939,Matching,,68908,9.5%,1044,431400,89,497.88,Matching and updated,,,
4013,"723,768","179,858",25,"47,257","30,806",65,"319,384","92,473",29,"292,368","43,745",15,"73,838","30,709",42,"646,776","149,149",23,"15,518","5,769",37,"2,841",461,16,"26,387","1,779",7,229,3221,860,842,"36,334",20,156,3190,321,1552,16,31175,Matching,,66937,13.5%,604,361420,117,279.35,Matching and updated,,,
6059,"497,549","32,349",7,"6,816","1,029",15,"246,939","22,812",9,"136,129","5,566",4,"47,823","7,790",16,"447,939","24,559",5,"1,669",119,7,"2,096",240,11,"85,515","1,736",2,133,3704,465,1071,"19,807",25,549,830,21,21996,48,9507,Matching,,181,0.0%,671,405278,2,150.3,Matching and updated,,,
6073,"476,778","61,252",13,"23,430","10,141",43,"230,828","27,872",12,"142,325","17,248",12,"52,866","18,698",35,"421,540","42,554",10,"2,488",521,21,"2,874",261,9,"48,709","1,524",3,94,5041,730,653,"22,003",22,735,648,429,1112,75,6377,Matching,,10362,2.2%,707,334453,23,368.48,Matching and updated,,,
48113,"455,967","130,754",29,"111,307","61,211",55,"262,335","61,031",23,"50,689","6,014",12,"33,623","18,461",55,"416,938","108,183",26,"2,173",358,16,566,43,8,"21,868",579,3,164,2746,"1,053",433,"29,506",15,171,2323,359,1110,30,13328,Matching,,27780,7.0%,523,327344,48,393.94,Matching and updated,,,
6065,"412,500","68,684",17,"25,874","11,318",44,"261,062","41,755",16,"89,460","11,905",13,"47,728","17,114",36,"363,396","51,570",14,"2,200",501,23,"3,289",330,10,"18,730",999,5,161,2576,554,744,"17,450",24,132,3125,211,1955,49,8410,Matching,,35374,8.6%,463,323040,45,464.7,Matching and updated,,,
