state,Total Days Lost,All Students per 100,Black Students per 100,Latino Students per 100,White Students per 100,Native American Students per 100,Pac. Islander Students per 100,Asian Students per 100,Students w/ Disabilities per 100,Students w/o Disabilities per 100,Students Enrolled,Black Students,Black-White Days Lost Gap per 100,Black Days Lost,Black % of State Enrollment ,Black % of State Lost Instruction,Latino Students,Latino-White Days Lost Gap per 100,Latino Days Lost,Latino Boys Enrolled,White Students,White Days Lost,SWD Enrolled,SWD-SWoD White Days Lost Gap per 100,SWD Days Lost,Native American Students,Native American-White Days Lost Gap per 100,Native Am. Days Lost,Black Boys Enrolled,Black Boy Days Lost,Black Boys Days Lost per 100 Students,"Black Boy+ Referrals per 1,000",Black Girls Enrolled,Black Girl Days Lost,Black Girl Days Lost per 100 Students,SWoD Enrolled,SWoD Days Lost,Pac. Islander Students,Pac. Islander Days Lost,Asian Students,Asian Days Lost,Multiracial Students,Latino Boy Days Lost,Total # of Arrests or Referrals,Arrest or Referral per 100 Students
NATION,"11,360,004",23,66,17,14,31,30,4.0,44,20,"49,977,268","7,706,334",52.7,"5,102,873",15%,45%,"12,901,683",4,"2,196,744","6,610,101","24,366,389","3,294,592","6,199,878",24.4,"2,733,625","550,923",17.5,"170,719","3,934,492","3,395,850",86,15,"3,771,842","1,707,041",45,"43,693,941","8,605,128","216,411","64,434","2,502,065","100,391","1,733,463","1,595,321","241,360",4.8
AK,"32,065",24,60,24,18,34,48,5.1,48,21,"131,093","4,204",41.7,"2,516",3%,8%,"8,772",6,"2,082","4,519","62,259","11,274","17,134",27.5,"8,290","30,678",15.6,"10,331","2,123","1,923",91,9,"2,081",593,28,"113,959","23,775","3,625","1,743","7,907",400,"13,648","1,533",454,3.5
AL,"205,830",28,59,8,13,15,11,4.6,30,27,"744,506","248,214",46.5,"146,566",33%,71%,"50,229",-5,"3,998","25,810","412,658","51,903","87,672",2.9,"26,465","8,912",2.1,"1,307","126,469","95,859",76,9,"121,745","50,707",42,"656,834","179,365","1,135",124,"11,110",508,"12,248","2,888","2,215",3.0
AR,"140,881",29,82,16,16,21,14,3.8,42,28,"480,300","96,632",66.4,"79,592",20%,56%,"59,044",0,"9,225","30,243","298,010","47,579","54,521",14.0,"22,754","3,508",5.1,738,"48,517","52,019",107,11,"48,115","27,573",57,"421,706","117,076","3,688",532,"7,932",300,"11,486","6,964","1,527",3.2
AZ,"279,904",25,62,27,18,42,16,6.5,39,23,"1,117,475","59,278",44.0,"36,478",5%,13%,"498,690",9,"132,878","255,155","439,556","77,291","124,519",15.7,"48,514","53,413",24.4,"22,403","30,754","26,490",86,15,"28,524","9,988",35,"992,956","231,390","4,348",683,"32,113","2,083","30,077","99,981","4,944",4.4
CA,"744,502",12,39,12,10,24,12,2.9,26,10,"6,217,689","361,902",28.9,"141,262",6%,19%,"3,346,757",1,"387,308","1,711,687","1,492,344","151,250","664,346",15.7,"172,860","39,594",13.7,"9,455","185,488","99,162",53,19,"176,414","42,100",24,"5,553,337","571,482","42,486","5,176","692,669","20,356","241,937","288,828","28,503",4.6
CO,"143,755",16,38,20,12,21,13,4.4,37,14,"889,725","41,517",26.2,"15,945",5%,11%,"296,118",8,"60,180","151,432","480,180","58,429","89,234",22.6,"32,581","7,136",8.5,"1,475","21,483","11,356",53,19,"20,034","4,589",23,"800,491","111,174","2,598",335,"27,915","1,222","34,261","42,769","5,227",5.9
CT,"102,841",19,56,32,7,19,6,3.1,44,16,"531,922","68,046",48.2,"37,811",13%,37%,"121,571",25,"39,447","62,335","297,911","21,899","68,227",28.7,"30,281","1,908",11.2,354,"35,185","25,445",72,22,"32,861","12,366",38,"463,695","72,560",818,48,"26,607",834,"15,061","25,905","2,597",4.9
DC,"41,759",51,69,14,2,19,20,2.8,112,42,"81,375","57,143",67.0,"39,524",70%,95%,"12,654",12,"1,813","6,487","8,405",178,"11,080",70.6,"12,446",194,16.4,36,"28,648","24,555",86,6,"28,495","14,969",53,"70,295","29,313",137,28,"1,234",34,"1,608","1,304",218,2.7
DE,"56,249",41,88,28,18,25,8,3.9,78,34,"136,411","42,168",70.6,"37,273",31%,66%,"21,793",10,"6,004","11,150","62,355","11,100","21,209",43.5,"16,543",642,7.4,162,"21,689","23,908",110,34,"20,479","13,365",65,"115,202","39,706",536,41,"4,988",193,"3,929","3,844","1,704",12.5
FL,"603,998",22,45,14,16,19,10,3.2,35,20,"2,762,601","622,277",28.7,"278,177",23%,46%,"874,490",-2,"123,796","449,479","1,083,764","173,860","358,775",15.5,"126,809","10,394",2.5,"1,925","318,064","178,538",56,19,"304,213","99,639",33,"2,403,826","477,189","5,455",560,"73,582","2,329","92,639","86,693","21,526",7.8
GA,"646,306",37,72,21,15,18,27,4.9,54,35,"1,745,762","645,007",56.5,"461,645",37%,71%,"254,874",6,"52,499","130,978","713,109","107,608","201,066",19.3,"108,766","4,517",2.9,812,"327,469","312,127",95,12,"317,538","149,518",47,"1,544,696","537,540","2,659",707,"66,613","3,234","58,983","38,884","6,994",4.0
HI,"75,241",41,34,31,28,42,75,24.0,95,35,"182,836","3,624",5.3,"1,221",2%,2%,"21,992",2,"6,727","11,291","23,445","6,655","18,693",59.6,"17,693",654,13.2,272,"1,796",678,38,10,"1,828",543,30,"164,143","57,548","55,602","41,627","55,105","13,244","22,414","5,047",761,4.2
IA,"43,544",9,35,10,6,6,10,2.5,23,7,"499,264","28,407",28.5,"9,933",6%,23%,"50,886",4,"5,108","26,000","386,372","24,976","58,606",16.7,"13,735","2,371",0.0,154,"14,719","6,552",45,38,"13,688","3,381",25,"440,658","29,809","1,372",136,"12,247",302,"17,609","3,678","2,849",5.7
ID,"18,264",6,10,7,6,20,6,1.1,13,6,"291,914","3,324",4.4,340,1%,2%,"50,447",1,"3,608","25,770","221,195","12,841","25,593",7.9,"3,452","3,996",14.2,798,"1,713",264,15,9,"1,611",76,5,"266,321","14,812","1,250",75,"3,890",44,"7,812","2,613",952,3.3
IL,"344,169",17,51,12,9,13,10,2.0,32,15,"2,005,522","346,599",41.5,"175,608",17%,51%,"510,289",3,"61,506","261,746","977,882","89,402","261,332",17.2,"84,026","7,001",3.8,907,"175,336","110,486",63,17,"171,263","65,122",38,"1,709,883","256,512","3,037",294,"96,007","1,914","64,707","43,985","9,143",4.6
IN,"243,184",24,74,20,15,16,5,5.2,46,20,"1,019,004","124,367",59.0,"92,532",12%,38%,"112,634",5,"23,051","57,617","708,093","109,261","146,582",25.6,"67,130","2,948",0.9,482,"63,361","61,265",97,11,"61,006","31,267",51,"872,422","176,054","1,072",54,"22,602","1,167","47,288","16,682","3,028",3.0
KS,"99,243",20,91,23,12,23,7,6.8,38,18,"486,050","35,036",79.8,"32,031",7%,32%,"91,392",11,"20,923","46,962","314,764","36,546","65,978",20.1,"24,942","5,712",10.9,"1,286","17,981","21,955",122,22,"17,055","10,076",59,"420,072","74,301","1,302",96,"13,740",933,"24,104","15,658","2,271",4.7
KY,"138,842",20,67,14,15,16,8,4.3,24,20,"681,279","71,583",52.7,"48,244",11%,35%,"40,515",-1,"5,723","20,964","532,448","78,462","87,650",4.3,"21,121","1,270",0.9,198,"36,619","31,241",85,11,"34,964","17,003",49,"593,629","117,721",949,77,"11,296",482,"23,218","4,280","1,877",2.8
LA,"214,426",30,49,16,15,22,9,5.0,43,28,"716,071","315,317",34.0,"154,066",44%,72%,"42,580",2,"6,993","21,900","325,683","48,260","77,380",15.2,"33,646","5,421",7.1,"1,189","160,581","102,369",64,7,"154,736","51,697",33,"638,691","180,780",779,67,"11,448",577,"14,843","5,147","2,204",3.1
MA,"118,366",13,31,24,8,12,4,2.3,25,10,"946,424","83,875",23.6,"26,243",9%,22%,"170,287",16,"40,756","87,500","589,881","45,081","159,479",15.7,"40,468","2,897",4.1,340,"43,178","18,844",44,5,"40,697","7,399",18,"780,942","75,530","1,392",54,"61,208","1,423","36,884","28,092","1,523",1.6
MD,"164,796",18,36,11,9,13,7,2.1,40,16,"893,472","309,493",28.0,"112,916",35%,69%,"140,934",2,"14,910","72,811","343,771","29,315","99,453",23.9,"39,504","3,125",4.8,417,"158,236","73,631",47,15,"151,257","39,285",26,"793,907","125,292","1,757",120,"55,952","1,156","38,440","11,256","4,829",5.4
