State,County,county_geoid,Remove from Map,Percent Students Enrolled in CNC,Students Enrolled in CNC Schools,Number of Districts,Number of Schools,Number of Counselors,Number of Law Enforcement,Sum of Counselors,Number Cop no Counselor Schools,White Students Enrolled,White Students Enrolled in CNC,MTW Status,latitude,longitude,MTW Status,DISTRICT,SCHOOL,MTW Status,Number of Social Workers,Number of Psychologists,Number of Nurses,Number of Teachers,MTW Status,MTW Status
FL,Franklin,12037,1,100.0%,1286,1,2,0,2,0,2,1001,1001,Matching,29.66,-84.86,Matching,FRANKLIN,FRANKLIN COUNTY SCHOOLS PK-12,Matching,0,0,0,85,Matching,Matching
SD,Butte,46019,1,82.0%,1378,2,8,0,5,0,5,1442,1196,Matching,44.648239,-103.834661,Matching,Belle Fourche School District 09-1,Belle Fourche Middle School - 07,Matching,1,0.25,1,121.67,Matching,Matching
TN,Lake,47095,1,73.5%,590,1,3,1,3,0,2,552,410,Matching,36.372887,-89.473603,Matching,Lake County,Lake Co High School,Matching,0,0,3,85,Matching,Matching
NM,Sierra,35051,1,73.0%,974,1,5,1,1.9,0,4,611,451,Matching,33.15,-107.25,Matching,T OR C MUNICIPAL SCHOOLS,HOT SPRINGS HIGH,Matching,3.5,0.4,2.6,102,Matching,Matching
KY,Caldwell,21033,1,71.4%,1472,1,4,2,4,0,3,1774,1248,Matching,37.140278,-87.890871,Matching,Caldwell County,Caldwell County Middle School,Matching,0,4,4,117,Matching,Matching
MI,Presque Isle,26141,1,67.6%,1009,4,8,2,6,0,6,1394,936,Matching,45.32738,-84.24011,Matching,Onaway Area Community School District,Onaway Senior High School,Matching,2,0,0.5,83,Matching,Matching
AZ,Greenlee,4011,1,66.6%,771,3,5,1,2.66,0,3,476,381,Matching,32.71,-109.1,Matching,Duncan Unified District,Duncan High School,Matching,0,0,4,74,Matching,Matching
LA,Assumption,22007,,60.7%,2159,1,9,5,9,0,7,1803,1099,Matching,29.946369,-91.026715,Matching,Assumption Parish,Assumption High School,Matching,1,2,9,273.71,Matching,Matching
IL,Jersey,17083,1,59.7%,1573,2,7,3.5,5,0,4,2536,1501,Matching,39.043492,-90.259516,Matching,Region III Spec Ed Coop,Journeys School,Matching,0,2,2,167,Matching,Matching
IN,Switzerland,18155,1,58.6%,923,1,4,2,1,0,2,1498,872,Matching,38.741941,-85.078157,Matching,Switzerland County School Corp,Switzerland Co Middle School,Matching,0,0,4,97.5,Matching,Matching
OH,Gallia,39053,,58.3%,2776,3,14,8,8,0,9,4394,2550,Matching,38.893385,-82.389399,Matching,Gallia-Jackson-Vinton,Buckeye Hills Career Center,Matching,0,1,4,339.8,Matching,Matching
UT,Garfield,49017,1,58.0%,584,1,9,1.9,6.45,0,5,891,521,Matching,37.625352,-112.083345,Matching,GARFIELD DISTRICT,BRYCE VALLEY HIGH,Matching,0,0,0.9,53.37,Matching,Matching
UT,Millard,49027,1,57.6%,1188,1,8,3,1.8,0,3,1619,921,Matching,39.347407,-112.573628,Matching,MILLARD DISTRICT,DELTA MIDDLE,Matching,0,0,0,116.42,Matching,Matching
UT,Beaver,49001,1,56.7%,891,1,6,2.3,2.83,0,4,1314,736,Matching,38.39759,-113.014452,Matching,BEAVER DISTRICT,MILFORD HIGH,Matching,0,0,0.6,72.59,Matching,Matching
GA,Taylor,13269,1,53.9%,792,1,5,2,4,0,2,818,431,Matching,32.548948,-84.228771,Matching,Taylor County,Taylor County High School,Matching,0,0,0,99.58,Matching,Matching
TN,Cannon,47015,1,53.8%,968,1,6,2,5,0,4,1695,910,Matching,35.82,-86.06,Matching,Cannon County,Cannon County High School,Matching,0,0,1,116,Matching,Matching
MS,Lauderdale,28075,,53.4%,6664,2,24,17,19.9,0,12,4855,4428,Matching,32.360989,-88.738832,Matching,MERIDIAN PUBLIC SCHOOL DIST,OAKLAND HEIGHTS ELEMENTARY SCHOOL,Matching,1,0,0,865,Matching,Matching
KY,Clay,21051,1,53.1%,1527,1,9,2,1.95,0,7,2790,1489,Matching,37.11048,-83.75381,Matching,Clay County,Clay County High School,Matching,0,2.31,9.54,211,Matching,Matching
OR,Klamath,41035,,52.0%,4862,2,29,13,27,0,18,6062,3111,Matching,42.152024,-121.69508,Matching,Klamath County SD,Henley High School,Matching,0.7,2.56,5.96,475.9,Matching,Matching
AZ,La Paz,4012,1,51.3%,1202,6,11,2,2,0,3,611,270,Matching,33.66,-114.24,Matching,Quartzsite Elementary School District #4,Quartzsite Elementary School,Matching,0,8,0,143.9,Matching,Matching
IL,Scott,17171,1,50.9%,444,2,5,2.2,2,0,1,848,436,Matching,39.62522,-90.46054,Matching,Winchester CUSD 1,Winchester Elem School,Matching,2.2,0.3,2.2,73,Matching,Matching
MN,Yellow Medicine,27173,1,50.8%,778,4,7,0,1,0,3,1237,543,Matching,44.617325,-95.410068,Matching,E.C.H.O. Charter School,E.C.H.O. Charter School,Matching,3,1.77,2.53,112.1,Matching,Matching
IN,Warren,18171,1,50.5%,606,1,4,2,4,0,3,1153,576,Matching,40.28,-87.39,Matching,M S D Warren County,Seeger Memorial Jr-Sr HS,Matching,0,0,3,86,Matching,Matching
MN,Kandiyohi,27067,,49.8%,3309,4,16,7.9,6.5,0,6,4175,2070,Matching,45.143157,-95.018124,Matching,TECHNICAL ACADEMIES OF MINNESOTA,DREAM TECHNICAL ACADEMY,Matching,13.5,4.75,11.15,482.26,Matching,Matching
LA,West Feliciana,22125,1,49.7%,1085,1,4,2,4,0,2,1237,623,Matching,30.826219,-91.383584,Matching,West Feliciana Parish,West Feliciana High School,Matching,3,1,1.99,182.2,Matching,Matching
OH,Harrison,39067,1,49.7%,945,4,6,2,2,0,2,1779,878,Matching,40.291951,-80.997666,Matching,Belmont-Harrison,Harrison Career Center,Matching,3.5,1.12,3.5,121,Matching,Matching
VA,Charlotte,51037,1,49.3%,952,1,5,3,4,0,3,1193,597,Matching,37.041997,-78.551162,Matching,CHARLOTTE CO PBLC SCHS,EUREKA ELEM,Matching,1,0,5,150.05,Matching,Matching
ID,Fremont,16043,1,49.3%,1085,1,7,4,7,0,4,1759,883,Matching,43.975041,-111.68385,Matching,FREMONT COUNTY JOINT DISTRICT,SOUTH FREMONT HIGH SCHOOL,Matching,1,0,0,134,Matching,Matching
