State,County,county_geoid,latitude,longitude,Students Enrolled,Remove County from CNC Map,Percent Students Enrolled in CNC,Total Days Lost,Total Days Lost per 100 Students,Black Students ,Black Days Lost ,Black Days Lost per 100 Students,Latino Students,Latino Days Lost,Latino Days Lost per 100 Students,White Students Enrolled,White Days Lost,White Days Lost per 100 Students,SWD Enrolled,SWD Days Lost,SWD Days Lost per 100 Students,SWoD Enrolled,SWoD Days Lost,SWoD Days Lost per 100 Students,Native American Students Enrolled,Native American Days Lost,Native American Days Lost per 100 Students,Pac. Islander Students Enrolled,Pac. Islander Days Lost,Pac. Islander Days Lost per 100 Students,Asian Students Enrolled,Asian Days Lost,Asian Days Lost per 100 Students,a DISTRICT,a SCHOOL,MTW Status,Students Enrolled in CNC Schools,MTW Status
SD,Butte,46019,44.648239,-103.834661,"31,190",1,82.0%,"7,037",23,640,333,52,7578,1215,16,18233,4061,22,3646,1371,38,27293,5666,21,811,405,50,155,9,6,1942,118,6,Belle Fourche School District 09-1,Belle Fourche Middle School - 07,Matching,1695640,Matching
TN,Lake,47095,36.372887,-89.473603,"304,967",1,73.5%,"79,186",26,42944,32525,76,76199,20087,26,157716,20743,13,38158,15358,40,258207,62357,24,3631,1172,32,458,157,34,12801,370,3,Lake County,Lake Co High School,Matching,,Non-matching
NM,Sierra,35051,33.15,-107.25,"1,720",1,73.0%,613,36,12,3,25,750,225,30,907,385,42,237,45,19,1486,568,38,12,0,0,4,0,0,4,0,0,T OR C MUNICIPAL SCHOOLS,HOT SPRINGS HIGH,Matching,,Non-matching
MI,Presque Isle,26141,45.32738,-84.24011,"1,493",1,67.6%,126,8,22,0,0,25,7,28,1394,119,9,64,5,8,1430,121,8,15,0,0,8,0,0,14,0,0,Onaway Area Community School District,Onaway Senior High School,Matching,,Non-matching
AZ,Greenlee,4011,32.71,-109.1,"1,157",1,66.6%,133,11,19,0,0,613,60,10,476,73,15,116,60,52,1041,73,7,30,0,0,0,0,0,10,0,0,Duncan Unified District,Duncan High School,Matching,,Non-matching
LA,Assumption,22007,29.946369,-91.026715,"3,554",,60.7%,"2,167",61,1552,1711,110,142,17,12,1803,415,23,414,270,65,3122,1897,61,14,3,21,0,0,0,14,11,79,Assumption Parish,Assumption High School,Matching,,Non-matching
IL,Jersey,17083,39.043492,-90.259516,"2,633",1,59.7%,431,16,18,0,0,26,14,54,2536,405,16,295,71,24,2324,360,15,8,0,0,2,9,450,16,0,0,Region III Spec Ed Coop,Journeys School,Matching,3620,Matching
IN,Switzerland,18155,38.741941,-85.078157,"1,574",1,58.6%,0,0,8,0,0,29,0,0,1498,0,0,275,0,0,1296,0,0,2,0,0,0,0,0,6,0,0,Switzerland County School Corp,Switzerland Co Middle School,Matching,16899,Matching
OH,Gallia,39053,38.893385,-82.389399,"4,759",,58.3%,402,8,137,19,14,44,8,18,4394,343,8,927,155,17,3789,247,7,8,1,13,4,0,0,26,0,0,Gallia-Jackson-Vinton,Buckeye Hills Career Center,Matching,210,Matching
UT,Millard,49027,39.347407,-112.573628,"2,062",1,57.6%,64,3,6,0,0,351,13,4,1619,51,3,298,12,4,1752,52,3,20,0,0,6,0,0,25,0,0,MILLARD DISTRICT,DELTA MIDDLE,Matching,10661,Matching
UT,Beaver,49001,38.39759,-113.014452,"26,441",1,56.7%,"5,520",21,2447,1952,80,1134,101,9,21594,3031,14,3920,1400,36,22409,4120,18,59,28,47,35,0,0,185,1,1,BEAVER DISTRICT,MILFORD HIGH,Matching,45484,Matching
TN,Cannon,47015,35.82,-86.06,"1,798",1,53.8%,330,18,43,0,0,36,0,0,1695,330,19,355,17,5,1432,313,22,6,0,0,4,0,0,10,0,0,Cannon County,Cannon County High School,Matching,,Non-matching
OR,Klamath,41035,42.152024,-121.69508,"9,356",,52.0%,"1,615",17,88,43,49,1888,264,14,6062,1002,17,1083,537,50,8192,1078,13,551,202,37,34,1,3,120,0,0,Klamath County SD,Henley High School,Matching,150,Matching
AZ,La Paz,4012,33.66,-114.24,"2,343",1,51.3%,"1,395",60,8,0,0,1118,580,52,611,329,54,372,248,67,1962,1147,58,483,459,95,4,0,0,14,0,0,Quartzsite Elementary School District #4,Quartzsite Elementary School,Matching,18572,Matching
MN,Yellow Medicine,27173,44.617325,-95.410068,"1,530",1,50.8%,155,10,30,2,7,106,10,9,1237,119,10,247,108,44,1272,47,4,133,24,18,0,0,0,24,0,0,E.C.H.O. Charter School,E.C.H.O. Charter School,Matching,72250,Matching
MN,Kandiyohi,27067,45.143157,-95.018124,"6,641",,49.8%,406,6,724,96,13,1526,198,13,4175,97,2,684,110,16,5918,296,5,41,4,10,6,0,0,82,3,4,TECHNICAL ACADEMIES OF MINNESOTA,DREAM TECHNICAL ACADEMY,Matching,,Non-matching
LA,West Feliciana,22125,30.826219,-91.383584,"2,182",1,49.7%,678,31,856,474,55,49,0,0,1237,199,16,262,109,42,1913,569,30,0,0,0,0,0,0,14,0,0,West Feliciana Parish,West Feliciana High School,Matching,67492,Matching
VA,Charlotte,51037,37.041997,-78.551162,"17,758",1,49.3%,"4,420",25,1993,1000,50,2278,449,20,12321,2737,22,3144,1226,39,14552,3194,22,63,19,30,44,0,0,251,23,9,CHARLOTTE CO PBLC SCHS,EUREKA ELEM,Matching,,Non-matching
NC,Pamlico,37137,35.140717,-76.777343,"1,845",1,48.9%,621,34,344,170,49,155,31,20,1217,355,29,258,127,49,1559,494,32,10,2,20,2,0,0,10,0,0,Pamlico County Schools,Pamlico County High,Matching,493,Matching
LA,Natchitoches,22069,31.938943,-93.148154,"6,825",,48.8%,"4,730",69,3733,4127,111,157,15,10,2639,502,19,679,902,133,6114,3828,63,63,10,16,8,0,0,54,6,11,Natchitoches Parish,Fairview-Alpha Elementary & Junior High School,Matching,,Non-matching
UT,Grand,49019,38.571898,-109.542931,"3,343",1,48.7%,252,8,16,0,0,565,63,11,2555,169,7,434,73,17,2894,179,6,106,15,14,22,0,0,27,0,0,GRAND DISTRICT,GRAND COUNTY HIGH,Matching,33297,Matching
MI,Clare,26035,44.03,-84.8,"4,400",1,48.3%,"2,070",47,47,8,17,73,15,21,4118,2007,49,634,438,69,3733,1632,44,35,0,0,4,2,50,27,1,4,Harrison Community Schools,Harrison Middle School,Matching,26416,Matching
UT,Uintah,49047,40.46373,-109.56144,"7,310",,47.2%,258,4,22,1,5,681,20,3,5803,114,2,836,38,5,6438,220,3,604,116,19,38,7,18,33,0,0,UINTAH DISTRICT,ASHLEY VALLEY EDUC CTR,Matching,4342,Matching
MI,Cheboygan,26031,45.631322,-84.495753,"2,895",1,46.9%,377,13,20,1,5,30,0,0,2513,326,13,361,102,28,2510,275,11,28,7,25,10,0,0,20,0,0,Cheboygan Area Schools,Cheboygan Area High School,Matching,,Non-matching
IL,Moultrie,17139,39.713746,-88.627949,"1,671",1,46.0%,95,6,13,0,0,31,0,0,1569,95,6,177,14,8,1485,81,5,6,0,0,0,0,0,8,0,0,Arthur CUSD 305,Lovington Grade School,Matching,10061,Matching
LA,Rapides,22079,31.300066,-92.474666,"24,647",,44.0%,"3,060",12,10540,2237,21,798,26,3,12649,778,6,2660,464,17,21903,2596,12,152,6,4,4,0,0,459,13,3,Rapides Parish,Alexandria Middle Magnet School,Matching,,Non-matching
IN,Jay,18075,40.37951,-85.205422,"3,505",1,43.6%,278,8,17,7,41,166,7,4,3208,260,8,640,132,21,2851,146,5,2,0,0,4,0,0,22,0,0,Jay School Corporation,West Jay County Middle School,Matching,,Non-matching
IN,Dearborn,18029,39.099656,-84.853075,"6,660",,43.4%,725,11,43,1,2,71,5,7,6328,696,11,934,223,24,5912,502,8,16,0,0,6,0,0,38,13,34,Lawrenceburg Com School Corp,Lawrenceburg High School,Matching,7,Matching
MN,Hubbard,27057,46.92,-95.06,"2,591",1,43.3%,356,14,32,8,25,93,10,11,2200,264,12,481,151,31,2082,205,10,112,59,53,0,0,0,14,3,21,PARK RAPIDS PUBLIC SCHOOL DISTRICT,PARK RAPIDS SENIOR HIGH,Matching,3908,Matching
MD,Baltimore,24510,39.29338,-76.537638,"85,251",,42.8%,"33,229",39,69060,31657,46,7023,545,8,7127,826,12,12221,10823,89,72928,22406,31,282,95,34,223,5,2,967,24,2,Baltimore City Public Schools,Patterson High,Matching,534,Matching
IN,Kosciusko,18085,41.409684,-85.854974,"12,263",,41.3%,"2,874",23,192,75,39,1964,517,26,9599,2167,23,1766,986,56,10426,1888,18,43,12,28,6,0,0,130,17,13,Wawasee Community School Corp,Milford School,Matching,2638,Matching
UT,Duchesne,49013,40.296142,-109.99853,"5,174",,41.0%,342,7,24,0,0,345,14,4,4400,278,6,896,47,5,4257,295,7,253,43,17,25,0,0,16,0,0,DUCHESNE DISTRICT,ROOSEVELT JR HIGH,Matching,22208,Matching
OH,Pickaway,39129,39.513967,-82.785846,"9,150",,40.8%,"2,030",22,199,111,56,149,21,14,8483,1852,22,1135,646,57,8028,1384,17,12,0,0,6,0,0,60,2,3,Logan Elm Local,Salt Creek Intermediate School,Matching,,Non-matching
MN,Faribault,27043,43.767573,-94.167701,"2,899",,40.3%,229,8,74,7,9,374,44,12,2231,171,8,434,82,19,2463,147,6,8,0,0,2,0,0,141,5,4,SOUTHERN PLAINS EDUCATION COOP.,SOUTHERN PLAINS AREA LEARNING CNTR.,Matching,6,Matching
MI,Gogebic,26053,46.48194,-90.052092,"1,869",,40.1%,223,12,22,1,5,22,3,14,1659,168,10,227,95,42,1625,128,8,128,48,38,11,0,0,15,0,0,Ironwood Area Schools of Gogebic County,Gogebic Co. Community Education,Matching,590,Matching
LA,Concordia,22029,31.574577,-91.453321,"3,878",,39.2%,"1,735",45,1820,1294,71,56,3,5,1923,414,22,387,175,45,3474,1560,45,15,0,0,6,0,0,20,8,40,Concordia Parish,Vidalia High School,Matching,1276,Matching
MS,Tallahatchie,28135,34.009665,-90.048916,"2,057",1,39.2%,"1,643",80,1727,1544,89,8,0,0,297,99,33,277,237,86,1771,1406,79,0,0,0,0,0,0,6,0,0,EAST TALLAHATCHIE CONSOL SCH DIST,CHARLESTON HIGH SCHOOL,Matching,25651,Matching
CO,Prowers,8099,38.084254,-102.62583,"1,976",1,36.6%,152,8,8,0,0,1129,94,8,781,46,6,188,32,17,1788,120,7,23,1,4,0,0,0,4,0,0,Lamar School District No. Re-2,WASHINGTON ELEMENTARY SCHOOL,Matching,,Non-matching
MN,Olmsted,27109,44.022906,-92.485991,"24,826",,34.9%,"2,038",8,2671,765,29,1812,197,11,17373,916,5,3108,955,31,21605,1083,5,144,10,7,18,0,0,1856,50,3,ROCHESTER PUBLIC SCHOOL DISTRICT,Rochester Academy-Idp Living(RAIL),Matching,11793,Matching
AK,Anchorage,2020,61.179413,-149.75987,"48,486",,34.9%,"12,349",25,2755,2117,77,5501,1455,26,20983,3103,15,6199,4601,74,41878,7748,19,4125,1656,40,2697,1342,50,5163,320,6,Anchorage School District,Benson Secondary/S.E.A.R.C.H.,Matching,,Non-matching
UT,Sevier,49041,38.767777,-112.09335,"22,709",,34.2%,"1,279",6,327,96,29,3312,217,7,18243,923,5,2392,215,9,20223,1064,5,275,20,7,92,0,0,232,0,0,SEVIER DISTRICT,RICHFIELD HIGH,Matching,,Non-matching
LA,Pointe Coupee,22077,30.60992,-91.373335,"2,954",1,34.2%,934,32,1877,717,38,73,0,0,981,217,22,338,124,37,2611,810,31,2,0,0,0,0,0,4,0,0,Pointe Coupee Parish,Rougon Elementary School,Matching,260,Matching
TX,Camp,48063,32.993264,-94.97266,"2,472",1,33.8%,42,2,437,18,4,971,12,1,962,11,1,233,15,6,2231,27,1,15,0,0,2,0,0,23,0,0,PITTSBURG ISD,PITTSBURG H S,Matching,8890,Matching
MI,Arenac,26011,44.011757,-83.960739,"2,190",1,32.7%,643,29,20,1,5,32,0,0,2059,608,30,128,39,30,2048,604,29,39,30,77,2,0,0,6,0,0,Standish-Sterling Community Schools,Standish-Sterling Middle School,Matching,,Non-matching
KS,Harvey,20079,38.044586,-97.329754,"5,447",,31.8%,"1,343",25,102,70,69,1079,118,11,3932,830,21,778,329,42,4639,1014,22,52,46,88,2,0,0,58,0,0,Newton,Chisholm Middle School,Matching,1067,Matching
CA,Colusa,6011,39.152168,-122.154585,"4,835",,31.4%,764,16,37,5,14,3622,535,15,987,169,17,367,129,35,4445,635,14,78,39,50,22,0,0,58,14,24,Williams Unified,Williams Upper Elementary,Matching,,Non-matching
UT,Utah,49049,40.2969,-111.6946,"134,554",,31.1%,"4,876",4,1140,145,13,17418,1305,7,108590,3199,3,15524,1296,8,118284,3580,3,681,72,11,1648,54,3,1440,32,2,ALPINE DISTRICT,POLARIS HIGH SCHOOL,Matching,648,Matching
