STATE,Students Enrolled,Arrests Total,Referrals Total,"Arrests per 10,000 Students","Referrals to Law per 1,000 Students",Black Students,Black Arrests,Black Referrals,Black % of Referrals,"Black Student Arrests per 10,000","Black Student Referrals to Law per 1,000 Students","Black-White Arrest Gap per 10,000","Black-White Referrals Gap per 1,000",Black-White Arrest Risk Ratio,Latino Students,Latino Arrests,Latino Referrals,Latino % of Referrals,"Latino Student Arrests per 10,000","Latino Student Referrals to Law per 1,000 Students","Latino-White Arrest Gap per 10,000","Latino-White Referrals Gap per 1,000",Latino-White Arrests Risk Ratio,White Students Enrolled,White Arrests,White Referrals,"White Student Arrests per 10,000","White Student Referrals to Law per 1,000 Students",Native American Students Enrolled,Native American Arrests,Native American Referrals,"Native American Arrests per 10,000 Students","Native American Referrals to Law per 1,000 Students","Native American-White Arrest Gap per 10,000","Native American-White Referrals Gap per 1,000",Native American-White Arrests Risk Ratio,Pac. Islander Students Enrolled,Pac. Islander Islander Arrests,Pac. Islander Islanders Referrals,"Pac. Islander Arrests per 10,000 Students","Pac. Islander Referrals to Law per 1,000 Students",Asian Students Enrolled,Asian Arrests,Asian Referrals,"Asian Arrests per 10,000 Students","Asian Referrals to Law per 1,000 Students",SWD Enrolled,SWD Arrests,SWD  Referrals ,SWD % of Referrals,SWD % of Arrests,"SWD Arrests per 10,000 Students","SWD Referrals to Law per 1,000 Students","SWD American-White Arrest Gap per 10,000","SWD American-White Referrals Gap per 1,000",SWD American-White Arrests Risk Ratio,SWoD Enrolled,SWoD Total Arrests,SWoD Total Referrals,"SWoD Arrests per 10,000 Students","SWoD Referrals to Law per 1,000 Students",Black Boys Enrolled,Black Boy Arrests,Black Boy Referrals,"Black Boy Arrests per 10,000 Students","Black Boy Referrals to Law per 1,000 Students",Latino Boys Enrolled,Latino Boys Arrests,Latino Boys Referrals,"Latino Boy Arrests per 10,000 Students","Latino Boy Referrals to Law per 1,000 Students",Black Boy SWD Enrolled,Black Boy SWD Arrests,Black Boy SWD Referrals,"Black Boy SWD Arrests per 10,000 Students","Black Boy SWD Referrals to Law per 1,000 Students",Latino Boy SWD Enrolled,Latino Boy SWD Arrests,Latino Boy SWD Referrals,"Latino Boy SWD Arrests per 10,000 Students","Latino Boy SWD Referrals to Law per 1,000 Students",Black + Latino Boys SWD % of Enrollment,Black + Latino Boys SWD % of Arrests,Black + Latino Boys SWD % of Referrals,Black % of State Enrollment,Black % of School Arrests,Latino % of State Enrollment,Latino % of School Arrests,SWD % of State Enrollment,SWD % of School Arrests,13-14 Arrest Total,13-14 Referrals Total,Increase/ Decrease in Number of Arrests,Increase/ Decrease in Number of Referrals,Increase/ Decrease in Percent of Arrests,Increase/ Decrease in Percent of Referrals,Girls Enrolled,Black Girls Enrolled,Black Girl Arrests,Black Girl Referrals,"Black Girl Arrests per 10,000 Students","Black Girl Referrals to Law per 1,000 Students",Black Girl % of Girl Enrollment,Black Girl % of Girls Arrested,Black-White Girl Risk Ratio,Latina Enrollment,"Latina Referrals per 1,000","Latina Arrests per 10,000",Latina % of Girls Enrolled,Latina % of Girls Arrested,Latina Referrals,Latina Arrests,Native American Girl Enrollment,"Native American Referrals per 1,000","Native American Arrests per 10,000",Native American % of Girls Enrolled,Native American  % of Girls Arrested,Native American Girl Referrals,Native American Girl Arrests,White Girl Enrollment,"White Girl Referrals per 1,000","White Girl Arrests per 10,000",White Girl % of Girls Enrolled,White Girl % of Girls Arrested,White Girl Referrals,White Girl Arrests,Total Girl Referrals,Total Girl Arrests,Boys Enrolled,White Boy Enrollment,"White Boy Referrals per 1,000","White Boy Arrests per 10,000",White Boy Referrals,White Boy Arrests,Native American Boy Arrests,Native American Boy Referrals,SOC Enrolled,,
DC,"81,375",169,218,21,3,"57,143",156,205,94%,27,4,27,4,0.0,"12,654",13,13,6%,10,1,10,1,0.0,"8,405",0,0,0,0,194,0,0,0,0,0,0,0.0,137,0,0,0,0,"1,234",0,0,0,0,"10,816",52,64,29%,31%,48,6,30,-1,2.7,"70,295",126,502,18,7,"28,648",78,105,27,4,"6,487",11,11,17,2,"5,804",34,42,59,7,992,2,2,20,2,8%,21%,20%,70%,92%,16%,8%,12%,31%,601 ,"1,762 ",629,"1,017",105%,58%,"40,351","28,495",78,100,27,4,71%,98%,0,"6,167",0,3,15%,3%,2,2,89,0,0,0%,0%,0,0,"4,100",0,0,10%,0%,0,0,102,80,"41,024","4,305",0,0,0,0,0,0,"72,970",,
LA,"716,071","1,143","1,657",16,2,"315,317",831,"1,073",65%,26,3,19,2,3.8,"42,580",52,72,4%,12,2,5,0,1.8,"325,683",224,441,7,1,"5,421",8,22,15,4,8,3,2.1,779,0,0,0,0,"11,448",4,4,3,0,"74,658",188,468,28%,16%,25,6,14,2,2.3,"638,691",688,"2,583",11,4,"160,581",449,673,28,4,"21,900",31,41,14,2,"25,376",95,234,37,9,"1,492",4,4,27,3,4%,9%,14%,44%,73%,6%,5%,14%,16%,132 ,367 ,99,607,75%,165%,"349,103","154,736",382,400,25,3,44%,80%,6,"20,680",1,10,6%,4%,31,21,"2,573",2,0,1%,0%,4,0,"157,723",1,4,45%,14%,89,68,542,479,"366,968","167,960",2,9,352,158,8,18,"390,388",,
AL,"744,506","1,077","2,191",14,3,"248,214",673,"1,177",54%,27,5,20,3,3.6,"50,229",49,83,4%,10,2,2,0,1.3,"412,658",311,854,8,2,"8,912",18,27,20,3,13,1,2.7,"1,135",0,2,0,2,"11,110",6,12,5,1,"85,342",291,539,25%,27%,34,6,28,4,5.3,"656,834",423,"1,657",6,3,"126,469",411,757,32,6,"25,810",43,67,17,3,"20,644",144,211,70,10,"2,347",6,20,26,9,3%,14%,11%,33%,62%,7%,5%,10%,27%,563 ,"18,092 ",109,"-17,331",19%,-96%,"362,109","121,745",262,420,22,3,34%,72%,5,"24,419",1,2,7%,2%,16,6,"4,450",2,13,1%,2%,8,6,"199,409",1,4,55%,24%,211,88,661,366,"382,397","213,249",3,10,643,223,12,19,"331,848",,
NC,"1,551,207",604,"6,786",4,4,"399,107",369,"3,125",46%,9,8,8,5,5.8,"252,248",73,"1,050",15%,3,4,1,2,1.8,"766,611",122,"1,971",2,3,"22,237",4,72,2,3,0,1,1.1,"2,715",0,10,0,4,"47,606",2,88,0,2,"179,404",199,"2,129",31%,33%,11,12,-1,8,1.0,"1,364,936","1,590","5,668",12,4,"204,036",261,"2,145",13,11,"129,217",51,767,4,6,"39,356",103,822,26,21,"17,017",10,211,6,12,4%,19%,15%,26%,61%,16%,12%,15%,33%,248 ,"1,074 ",-28,390,-11%,36%,"754,180","195,071",108,980,6,5,26%,64%,8,"123,031",2,2,16%,13%,283,22,"10,909",2,4,1%,2%,24,4,"370,181",1,1,49%,15%,519,25,"2,004",169,"797,027","396,430",4,2,"1,452",97,0,48,"784,596",,
SC,"757,281","2,046","3,192",27,4,"262,299","1,197","1,745",55%,46,7,29,4,2.8,"63,625",68,114,4%,11,2,-6,-1,0.7,"388,287",632,"1,170",16,3,"3,011",4,14,13,5,-3,2,0.8,"1,343",2,6,15,4,"11,865",6,18,5,2,"93,717",481,841,26%,24%,51,9,41,5,4.9,"660,803",696,"2,798",11,4,"133,790",736,"1,103",55,8,"33,043",53,80,16,2,"27,278",226,351,83,13,"4,215",12,25,28,6,4%,12%,12%,35%,59%,8%,3%,12%,24%,410 ,"3,244 ",289,408,70%,13%,"368,213","128,509",461,642,36,5,35%,64%,3,"30,582",1,5,8%,2%,34,15,"1,476",1,14,0%,0%,2,2,"187,763",2,12,51%,30%,363,219,"1,099",725,"389,068","200,524",4,24,807,473,2,12,"368,994",,
MS,"490,208",793,"1,392",16,3,"242,516",499,865,62%,21,4,9,1,1.7,"18,299",22,27,2%,12,1,0,-1,1.0,"218,229",260,477,12,2,"1,429",0,2,0,1,-12,-1,0.0,394,0,0,0,0,"5,347",2,2,4,0,"55,356",175,290,21%,22%,32,5,19,1,2.5,"433,915",559,"2,005",13,5,"123,257",337,595,27,5,"9,488",12,14,13,1,"18,779",73,126,39,7,785,2,2,25,3,4%,9%,9%,49%,63%,4%,3%,11%,22%,451 ,"1,042 ","1,189","3,825",N/A,367%,"239,661","119,259",162,270,14,2,50%,63%,2,"8,811",1,11,4%,4%,13,10,712,0,0,0%,0%,0,0,"106,025",1,7,44%,31%,112,79,408,257,"250,547","112,204",3,16,365,183,0,2,"271,979",,
GA,"1,745,762","3,980","6,720",23,4,"645,007","2,339","3,766",56%,36,6,23,3,2.6,"254,874",440,659,10%,17,3,4,0,1.3,"713,109",981,"1,884",14,3,"4,517",14,29,31,6,17,4,2.3,"2,659",6,14,23,5,"66,613",42,69,6,1,"195,340",994,"1,639",24%,25%,51,8,43,6,6.5,"1,544,696","1,206","4,437",8,3,"327,469","1,577","2,479",48,8,"130,978",326,462,25,4,"54,323",437,707,80,13,"17,033",86,121,50,7,4%,13%,12%,37%,59%,15%,11%,12%,25%,"4,324 ","5,706 ",-344,"1,014",-8%,18%,"851,563","317,538",762,"1,287",24,4,37%,63%,3,"123,896",2,9,15%,9%,197,114,"2,142",3,0,0%,0%,7,0,"344,717",2,8,40%,23%,560,281,"2,181","1,219","894,199","368,392",4,19,"1,324",699,14,22,"1,032,653",,
MI,"1,509,170",699,"3,652",5,2,"270,951",319,"1,010",28%,12,4,9,2,4.6,"109,250",68,271,7%,6,2,4,0,2.4,"1,015,111",262,"2,083",3,2,"12,093",6,85,5,7,2,5,1.9,"2,154",2,2,9,1,"48,957",4,34,1,1,"178,179",181,"1,015",28%,26%,10,6,-1,1,0.9,"1,322,533","1,447","6,435",11,5,"138,629",163,627,12,5,"55,880",53,184,9,3,"25,476",40,168,16,7,"7,419",20,59,27,8,2%,9%,6%,18%,46%,7%,10%,11%,26%,962 ,"3,757 ",-211,"-2,246",-22%,-60%,"732,762","132,322",156,383,12,3,18%,61%,8,"53,370",2,3,7%,6%,87,15,"5,796",4,7,1%,2%,23,4,"490,792",1,1,67%,28%,575,72,"1,136",257,"776,408","524,319",3,4,"1,508",198,2,62,"494,059",,
MD,"893,472","2,136","4,610",24,5,"309,493","1,212","2,609",57%,39,8,23,6,2.4,"140,934",197,728,16%,14,5,-2,2,0.9,"343,771",552,931,16,3,"3,125",12,30,38,10,22,7,2.4,"1,757",4,8,23,5,"55,952",10,56,2,1,"95,768",618,"1,240",27%,29%,65,13,58,10,9.9,"793,907",515,"2,171",6,3,"158,236",772,"1,670",49,11,"72,811",143,532,20,7,"28,736",267,548,93,19,"9,439",28,102,30,11,4%,14%,14%,35%,57%,16%,9%,11%,29%,898 ,"1,726 ",-105,-334,-12%,-19%,"435,032","151,257",440,939,29,6,35%,60%,3,"68,123",3,8,16%,7%,196,54,"1,523",4,0,0%,0%,6,0,"167,027",2,11,38%,25%,286,183,"1,530",729,"458,440","176,744",4,22,645,385,12,24,"549,701",,
DE,"136,411",465,"1,700",34,12,"42,168",229,875,51%,54,21,30,13,2.2,"21,793",56,237,14%,26,11,1,3,1.0,"62,355",154,498,25,8,642,0,16,0,25,-25,17,0.0,536,0,2,0,4,"4,988",4,26,8,5,"20,761",134,552,32%,29%,65,27,50,21,4.6,"115,202",162,673,14,6,"21,689",146,582,67,27,"11,150",36,164,32,15,"5,220",56,226,107,43,"2,032",12,50,59,25,5%,15%,16%,31%,49%,16%,12%,11%,29%,"1,629 ","2,754 ",507,"1,856",31%,67%,"66,141","20,479",83,293,41,14,31%,51%,3,"10,643",7,19,16%,12%,73,20,305,26,0,0%,0%,8,0,"29,978",5,16,45%,29%,150,47,554,162,"70,270","32,377",11,34,348,111,0,8,"74,056",,
MO,"915,033","1,487","5,355",16,6,"145,553",653,"1,735",32%,45,12,33,7,3.8,"53,440",48,256,5%,9,5,-3,0,0.8,"661,214",784,"3,055",12,5,"4,434",8,38,18,9,6,4,1.5,"2,724",4,8,15,3,"18,033",10,24,6,1,"113,056",443,"1,418",26%,30%,39,13,26,6,3.1,"797,074","1,013","4,999",13,6,"74,025",441,"1,195",60,16,"27,432",32,186,12,7,"14,154",120,325,85,23,"3,246",12,42,37,13,2%,9%,7%,16%,44%,6%,3%,13%,30%,"1,012 ","2,454 ",452,"1,402",45%,57%,"443,973","71,528",212,540,30,8,16%,50%,5,"26,008",3,6,6%,4%,70,16,"2,176",6,0,0%,0%,12,0,"319,289",3,5,72%,42%,851,175,"1,561",421,"471,060","341,925",6,16,"2,204",537,8,26,"253,819",,
IL,"2,005,522","3,605","9,000",18,4,"346,599","1,471","3,285",37%,42,9,32,7,4.0,"510,289",850,"2,629",29%,17,5,6,3,1.6,"977,882","1,039","2,534",11,3,"7,001",20,56,29,8,18,5,2.7,"3,037",4,6,13,2,"96,007",48,151,5,2,"252,812","1,191","2,704",30%,33%,47,11,39,7,5.7,"1,709,883","1,404","6,002",8,4,"175,336",914,"2,023",52,12,"261,746",604,"1,741",23,7,"36,919",361,794,98,22,"43,962",184,508,42,12,4%,15%,14%,17%,41%,25%,24%,13%,33%,120 ,379 ,80,230,67%,61%,"975,771","171,263",557,"1,262",33,7,18%,47%,5,"248,543",4,10,25%,21%,888,246,"3,358",5,12,0%,0%,18,4,"472,268",2,7,48%,27%,744,321,"3,051","1,196","1,029,751","505,614",4,14,"1,790",725,16,38,"1,027,640",,
TN,"994,785","1,464","3,856",15,4,"222,637",605,"1,090",28%,27,5,16,1,2.4,"89,424",89,302,8%,10,3,-1,0,0.9,"638,461",729,"2,303",11,4,"2,413",2,4,8,2,-3,-2,0.7,"1,440",4,14,28,10,"19,246",6,46,3,2,"126,505",356,825,21%,24%,28,7,23,4,5.7,"864,502",429,"2,521",5,3,"113,040",401,768,35,7,"46,112",65,206,14,4,"20,063",125,239,62,12,"5,042",12,47,24,9,3%,9%,7%,22%,41%,9%,6%,16%,24%,40 ,640 ,69,91,173%,14%,"483,922","109,597",204,322,19,3,23%,46%,3,"43,312",2,6,9%,5%,96,24,"1,174",0,0,0%,0%,0,0,"308,813",2,7,64%,47%,645,208,"1,109",446,"510,863","329,648",5,16,"1,658",522,2,4,"356,324",,
FL,"2,762,601","1,919","21,208",7,8,"622,277",846,"8,527",40%,14,14,9,8,2.8,"874,490",460,"4,673",22%,5,5,0,-1,1.1,"1,083,764",522,"6,635",5,6,"10,394",16,142,15,14,11,8,3.2,"5,455",4,36,7,7,"73,582",6,230,1,3,"350,453",578,"5,891",28%,30%,16,17,7,13,1.7,"2,403,826","2,338","8,036",10,3,"318,064",569,"5,599",18,18,"449,479",336,"3,154",7,7,"61,742",200,"1,938",32,31,"72,452",120,986,17,14,5%,17%,14%,23%,44%,32%,24%,13%,30%,"1,311 ","6,317 ",680,"2,118",52%,34%,"1,344,376","304,213",277,"2,928",9,10,23%,45%,3,"425,011",4,3,32%,20%,"1,504",124,"5,003",10,12,0%,1%,48,6,"525,393",4,3,39%,28%,"2,028",174,"6,895",611,"1,418,225","558,371",8,6,"4,607",344,10,94,"1,678,837",,
KY,"681,279",451,"1,809",7,3,"71,583",169,452,25%,24,6,19,4,5.2,"40,515",18,119,7%,4,3,0,1,1.0,"532,448",242,"1,137",5,2,"1,270",2,4,16,3,11,1,3.5,949,0,0,0,0,"11,296",0,10,0,1,"85,043",132,920,51%,29%,16,11,6,6,1.7,"593,629",546,"2,640",9,4,"36,619",108,308,29,8,"20,964",12,89,6,4,"6,718",36,153,54,23,"2,405",2,34,8,14,1%,8%,10%,11%,37%,6%,4%,9%,29%,"6,513 ","14,891 ","2,407","1,623",37%,11%,"330,682","34,964",61,144,17,4,11%,41%,7,"19,551",2,3,6%,4%,30,6,628,0,0,0%,0%,0,0,"257,642",1,3,78%,45%,292,66,495,147,"350,597","274,806",3,6,845,172,2,4,"148,831",,
PA,"1,693,260","5,647","21,860",33,13,"250,615","2,025","8,563",39%,81,34,60,27,3.9,"176,791",910,"3,430",16%,51,19,31,12,2.5,"1,138,597","2,359","8,187",21,7,"3,704",16,56,43,15,22,8,2.1,"1,890",4,12,21,6,"63,278",51,348,8,5,"263,797","2,125","7,333",34%,38%,81,28,67,23,5.8,"1,422,220","1,988","6,682",14,5,"127,949","1,257","5,257",98,41,"91,185",613,"2,195",67,24,"28,771",572,"1,979",199,69,"18,667",258,828,138,44,3%,15%,13%,15%,36%,10%,16%,11%,38%,"8,217 ","19,685 ","-4,806","8,628",-58%,44%,"820,952","122,666",768,"3,306",63,27,15%,41%,5,"85,606",14,35,10%,16%,"1,235",297,"1,848",13,43,0%,0%,24,8,"550,159",4,12,67%,37%,"2,388",680,"7,521","1,855","872,308","588,438",10,28,"5,777","1,659",8,32,"554,663",,
NJ,"1,358,709","1,379","3,511",10,3,"214,484",524,"1,146",33%,24,5,19,4,4.4,"342,503",420,"1,002",29%,12,3,7,1,2.2,"634,772",355,"1,154",6,2,"2,485",2,4,8,2,2,0,1.4,"3,795",0,2,0,1,"133,871",26,94,2,1,"199,265",472,"1,167",33%,34%,24,6,14,2,2.5,"1,147,479","1,084","4,416",9,4,"109,273",322,746,29,7,"175,428",277,655,16,4,"24,418",130,278,53,11,"34,162",97,209,28,6,4%,16%,14%,16%,38%,25%,30%,13%,34%,50 ,305 ,11,-10,22%,-3%,"661,248","105,211",202,400,19,4,16%,41%,5,"167,075",2,9,25%,29%,347,143,"1,242",0,0,0%,0%,0,0,"307,314",1,4,46%,23%,332,115,"1,141",492,"697,461","327,458",3,8,822,248,2,4,"723,937",,
NY,"2,725,551",849,"8,218",3,3,"478,796",291,"3,054",37%,6,6,2,4,1.7,"702,113",112,"2,079",25%,2,3,-2,1,0.4,"1,219,631",444,"2,677",4,2,"19,076",8,76,4,4,1,2,1.2,"7,956",0,4,0,1,"242,260",6,226,0,1,"426,180",318,"2,916",35%,37%,7,7,-2,3,0.8,"2,285,196","2,082","8,856",9,4,"244,868",198,"1,967",8,8,"360,186",76,"1,399",2,4,"63,831",66,840,10,13,"89,869",32,618,4,7,6%,12%,18%,18%,34%,26%,13%,15%,37%,283 ,"1,529 ",-78,-27,-28%,-2%,"1,324,306","233,928",93,"1,087",4,5,18%,40%,2,"341,927",2,1,26%,15%,680,36,"9,373",3,2,1%,1%,26,2,"590,368",1,2,45%,44%,836,104,"2,687",235,"1,401,245","629,263",3,5,"1,876",325,6,50,"1,505,920",,
